"date","shift","stores","source"
"2026-09-02","昼","s1|s2|s4","メイドさんの当日お給仕投稿"
"2026-09-02","夜","s1|s4","メイドさんの当日お給仕投稿（1号店と4号店は通し、2号店は昼のみ）"
